feature,coefficient,abs_coefficient
avg_history_title_overlap_count,-0.2556679721462226,0.2556679721462226
candidate_title_token_count,0.19366679135828335,0.19366679135828335
candidate_subcategory_match_fraction,0.1813440931324447,0.1813440931324447
retrieval_score,0.17147833783955918,0.17147833783955918
user_candidate_title_overlap_ratio,0.1482848125543763,0.1482848125543763
user_candidate_full_overlap_count,-0.1383684189314193,0.1383684189314193
max_history_title_jaccard,-0.1352777703576172,0.1352777703576172
candidate_category_seen_in_history,0.12647444559300727,0.12647444559300727
selected_history_count,-0.09827941918474228,0.09827941918474228
avg_history_title_jaccard,0.08487851504682381,0.08487851504682381
max_history_title_overlap_count,0.08195261955573571,0.08195261955573571
user_candidate_full_jaccard,0.07933921557755992,0.07933921557755992
user_candidate_title_jaccard,-0.06806555394796042,0.06806555394796042
impression_size,-0.06655144696561638,0.06655144696561638
user_candidate_title_overlap_count,0.06536916691444385,0.06536916691444385
user_candidate_full_overlap_ratio,0.05575610107853194,0.05575610107853194
candidate_abstract_token_count,-0.03604068297126885,0.03604068297126885
candidate_category_match_fraction,0.02489264370757463,0.02489264370757463
candidate_subcategory_seen_in_history,0.017741793305552363,0.017741793305552363
user_profile_token_count,0.01154413418884704,0.01154413418884704
history_length,-0.00169487393001716,0.00169487393001716
candidate_full_token_count,-0.00038158567929828075,0.00038158567929828075
