impression_id,user_id,candidate_news_id,clicked,score,retrieval_score,history_length,impression_size
10207,U24163,N49285,0,0.6107388096571456,0.037921367887889953,42,69
10207,U24163,N30722,0,0.47439537041304003,0.008394194285807295,42,69
10207,U24163,N53242,1,0.4742489116680964,0.025327556344406317,42,69
10756,U20979,N23513,0,0.6355977669300729,0.0,0,4
10756,U20979,N36779,0,0.5513283942101173,0.0,0,4
10756,U20979,N31958,0,0.5495527288471593,0.0,0,4
1091,U58223,N5940,0,0.5635027733763612,0.008980612991576577,19,33
1091,U58223,N11930,0,0.5337783910484057,0.02511891821313613,19,33
1091,U58223,N15719,1,0.5103527550649096,0.001434418942837628,19,33
11551,U15248,N6950,0,0.5441443347640618,0.013384108496155154,67,30
11551,U15248,N62365,0,0.5369773886517595,0.049180047678089464,67,30
11551,U15248,N11930,1,0.5053603194808692,0.01313193153934092,67,30
12578,U25867,N19611,1,0.6592633777321787,0.020838669163379637,4,49
12578,U25867,N34130,0,0.6182684600095831,0.002352665319923071,4,49
12578,U25867,N60215,0,0.6149641196628894,0.032019445041048644,4,49
128,U78907,N26305,0,0.7043385700459288,0.02453673367683641,9,49
128,U78907,N23513,1,0.6689974162647402,0.0014649089856628868,9,49
128,U78907,N58251,1,0.6299017068342011,0.011028058911980759,9,49
13621,U69693,N36779,1,0.512769491522106,0.007063840973197186,27,4
13621,U69693,N42767,0,0.4471623832751576,0.009829609419486308,27,4
13621,U69693,N32536,0,0.4104625777760089,0.007996349408456043,27,4
1584,U28493,N30290,0,0.5606928907982162,0.022616554470368595,34,59
1584,U28493,N46976,0,0.5349171070046091,0.01846251094034144,34,59
1584,U28493,N58098,0,0.5090062376900163,0.024868580216908874,34,59
15940,U45427,N39393,0,0.7217398686711743,0.03459225434971068,61,92
15940,U45427,N55237,0,0.5558845290521486,0.0023260898633690893,61,92
15940,U45427,N17513,0,0.5230787375561295,0.009236273894815548,61,92
1604,U48568,N19990,1,0.6043778795257767,0.011215605552241732,71,22
1604,U48568,N31958,0,0.5290798309395875,0.011103789497510834,71,22
1604,U48568,N29862,0,0.5147960251848075,0.010434325869662132,71,22
